Local time,Open,High,Low,Close,Volume
2003-04-30 21:00:00+00:00,118.94,119.616,115.03,119.283,11721085.796600005
2003-05-31 21:00:00+00:00,119.521,120.249,117.143,119.683,12185220.710199997
2003-06-30 21:00:00+00:00,119.67,120.735,116.65,120.507,13424971.797399998
2003-07-31 21:00:00+00:00,120.518,120.694,116.13,116.872,12550982.2799
2003-08-31 21:00:00+00:00,116.692,117.698,110.076,111.459,13588618.634700011
2003-09-30 21:00:00+00:00,111.461,111.571,107.794,109.919,14225247.817999993
2003-10-31 22:00:00+00:00,109.873,111.477,107.522,109.583,12462719.991800005
2003-11-30 22:00:00+00:00,109.693,109.998,106.723,107.195,14088669.255300015
2003-12-31 22:00:00+00:00,107.195,108.193,105.422,105.656,13244055.230400002
2004-01-31 22:00:00+00:00,105.585,109.792,105.142,109.108,12525238.500900008
2004-02-29 22:00:00+00:00,109.023,112.276,103.416,104.19,14443640.320799995
2004-03-31 22:00:00+00:00,104.185,111.016,103.45,110.465,13813438.387500005
2004-04-30 21:00:00+00:00,110.397,114.872,108.305,109.477,13174197.644899992
2004-05-31 21:00:00+00:00,109.525,111.929,106.994,108.714,13959364.54269999
2004-06-30 21:00:00+00:00,108.738,112.472,107.544,111.331,13867905.285099993
2004-07-31 21:00:00+00:00,111.248,112.09,108.734,109.127,13877145.40600001
2004-08-31 21:00:00+00:00,109.155,111.693,108.939,109.982,13720760.013000004
2004-09-30 21:00:00+00:00,110.024,111.449,105.763,105.767,13102673.981899992
2004-10-31 22:00:00+00:00,105.905,107.277,102.155,103.03,13638016.42980002
2004-11-30 22:00:00+00:00,103.04,106.165,101.825,102.582,14085976.32839999
2004-12-31 22:00:00+00:00,102.706,105.155,101.568,103.65,12715119.407900002
2005-01-31 22:00:00+00:00,103.657,106.824,103.335,104.579,12354214.690199986
2005-02-28 22:00:00+00:00,104.581,107.667,103.476,107.126,14262370.464500012
2005-03-31 22:00:00+00:00,107.148,108.853,104.584,104.703,13249313.434099998
2005-04-30 21:00:00+00:00,104.828,108.586,104.187,108.535,13824618.552399997
2005-05-31 21:00:00+00:00,108.552,111.008,106.447,110.893,13723662.679
2005-06-30 21:00:00+00:00,110.92,113.541,109.663,112.498,13128944.208500007
2005-07-31 21:00:00+00:00,112.507,112.781,109.025,110.557,14386513.923399998
2005-08-31 21:00:00+00:00,110.538,113.694,108.756,113.471,13682630.785899986
2005-09-30 21:00:00+00:00,113.651,116.477,113.008,116.388,12809006.905299995
2005-10-31 22:00:00+00:00,116.38,119.919,116.37,119.775,13277155.222499998
2005-11-30 22:00:00+00:00,119.796,121.375,115.503,117.695,13192669.193100007
2005-12-31 22:00:00+00:00,117.75,117.88,113.444,117.155,13241110.780000005
